========================================
ANALISI 3.1 SQL - normal
Timestamp: 2026-06-03 16:15:12.623015
========================================

Row(op_unique_carrier='DL', origin='MSY', num_flights=7174, min_arr_delay=0.0, max_arr_delay=1278.0, avg_arr_delay=13.968776136046836, cancellation_rate=0.0)
Row(op_unique_carrier='B6', origin='PSP', num_flights=78, min_arr_delay=0.0, max_arr_delay=1046.0, avg_arr_delay=32.794871794871796, cancellation_rate=0.0)
Row(op_unique_carrier='AA', origin='SDF', num_flights=2526, min_arr_delay=0.0, max_arr_delay=2549.0, avg_arr_delay=29.53285827395091, cancellation_rate=0.0)
Row(op_unique_carrier='MQ', origin='EYW', num_flights=2002, min_arr_delay=0.0, max_arr_delay=1001.0, avg_arr_delay=16.57992007992008, cancellation_rate=0.0)
Row(op_unique_carrier='YX', origin='ATL', num_flights=1211, min_arr_delay=0.0, max_arr_delay=1243.0, avg_arr_delay=15.403798513625103, cancellation_rate=0.0)
Row(op_unique_carrier='9E', origin='GRR', num_flights=899, min_arr_delay=0.0, max_arr_delay=390.0, avg_arr_delay=10.898776418242491, cancellation_rate=0.0)
Row(op_unique_carrier='9E', origin='BGR', num_flights=1211, min_arr_delay=0.0, max_arr_delay=459.0, avg_arr_delay=9.829892650701899, cancellation_rate=0.0)
Row(op_unique_carrier='DL', origin='FCA', num_flights=789, min_arr_delay=0.0, max_arr_delay=537.0, avg_arr_delay=12.891001267427123, cancellation_rate=0.0)
Row(op_unique_carrier='DL', origin='MDT', num_flights=765, min_arr_delay=0.0, max_arr_delay=414.0, avg_arr_delay=9.49673202614379, cancellation_rate=0.0)
Row(op_unique_carrier='G4', origin='CVG', num_flights=3223, min_arr_delay=0.0, max_arr_delay=1082.0, avg_arr_delay=18.842382873099595, cancellation_rate=0.0)

EXEC TIME: 5.165248155593872
