
======================================================================
Execution timestamp: 2026-05-23 12:11:53.694126
Execution time: 44.87 seconds

TOP 10 RESULTS
----------------------------------------------------------------------
9E|ABE|ATL	{"num_flights": 1017, "min_arr_delay": 0.0, "max_arr_delay": 597.0, "avg_arr_delay": 13.43362831858407, "cancellation_rate": 0.01376597836774828, "months_active": ["9", "3", "5", "8", "10", "1", "2", "6", "4", "11", "7", "12"]}
9E|ABY|ATL	{"num_flights": 38, "min_arr_delay": 0.0, "max_arr_delay": 332.0, "avg_arr_delay": 15.842105263157896, "cancellation_rate": 0.0, "months_active": ["3", "1", "11", "2", "12"]}
9E|AEX|ATL	{"num_flights": 878, "min_arr_delay": 0.0, "max_arr_delay": 1005.0, "avg_arr_delay": 19.134396355353076, "cancellation_rate": 0.010250569476082005, "months_active": ["9", "3", "8", "10", "1", "2", "6", "12", "4", "11", "7", "5"]}
9E|AGS|ATL	{"num_flights": 1580, "min_arr_delay": 0.0, "max_arr_delay": 1083.0, "avg_arr_delay": 15.89240506329114, "cancellation_rate": 0.02088607594936709, "months_active": ["9", "3", "5", "8", "10", "1", "2", "6", "4", "11", "7", "12"]}
9E|AGS|AUS	{"num_flights": 2, "min_arr_delay": 31.0, "max_arr_delay": 90.0, "avg_arr_delay": 60.5, "cancellation_rate": 0.0, "months_active": ["4"]}
9E|AGS|DCA	{"num_flights": 2, "min_arr_delay": 0.0, "max_arr_delay": 107.0, "avg_arr_delay": 53.5, "cancellation_rate": 0.0, "months_active": ["4"]}
9E|AGS|DTW	{"num_flights": 6, "min_arr_delay": 0.0, "max_arr_delay": 29.0, "avg_arr_delay": 7.333333333333333, "cancellation_rate": 0.0, "months_active": ["4"]}
9E|AGS|JFK	{"num_flights": 2, "min_arr_delay": 0.0, "max_arr_delay": 35.0, "avg_arr_delay": 17.5, "cancellation_rate": 0.0, "months_active": ["4"]}
9E|AGS|LGA	{"num_flights": 11, "min_arr_delay": 0.0, "max_arr_delay": 51.0, "avg_arr_delay": 5.818181818181818, "cancellation_rate": 0.0, "months_active": ["4"]}
9E|ALB|DTW	{"num_flights": 435, "min_arr_delay": 0.0, "max_arr_delay": 400.0, "avg_arr_delay": 9.554022988505746, "cancellation_rate": 0.004597701149425287, "months_active": ["9", "3", "8", "1", "10", "6", "12", "4", "7", "11", "2", "5"]}

